Transaction Date, Posting Date, Billing Amount, Merchant, Merchant City , Merchant State , Merchant Zip , Reference Number , Debit/Credit Flag , SICMCC Code
11/25/2017,11/27/2017,$32.59 ,HUMBLEBUNDLE.COM,8778877815,CA,94108," ""55429507330637890409346""",D,5734
11/25/2017,11/27/2017,$9.12 ,PET PLANET,CALGARY,AB,T3H 0S9," ""55419217329200470725093""",D,5995
11/25/2017,11/27/2017,$11.39 ,REAL CANADIAN SUPERSTO,CALGARY,AB,T3M 1T4," ""55181367329463687559304""",D,5411
11/25/2017,11/27/2017,$148.48 ,REAL CANADIAN SUPERSTO,CALGARY,AB,T3M 1T4," ""55181367329463687553448""",D,5411
11/24/2017,11/27/2017,$43.42 ,1786 GB CALGARY SETON,CALGARY,AB,T3M 1T4," ""55181367328463665478148""",D,5541
11/20/2017,11/21/2017,($396.08),PAYMENT / PAIEMENT - TD,TORONTO O,N,," ""75181277325101200783992""",C,0
11/20/2017,11/21/2017,$48.59 ,REAL CANADIAN SUPERSTO,CALGARY,AB,T3M 1T4," ""55181367324463693496629""",D,5411
11/20/2017,11/21/2017,$14.33 ,REAL CANADIAN LIQUOR S,CALGARY,AB,T3M 1T4," ""55181367324463693464122""",D,5411
11/19/2017,11/20/2017,$51.37 ,IKEA CALGARY,CALGARY,AB,T2H3B2," ""55134427323800181053670""",D,5712
11/19/2017,11/20/2017,$25.21 ,WWW.ALIEXPRESS.COM,LONDON,GBR,WC1X 8RW," ""55438647324000830665827""",D,5964
11/18/2017,11/20/2017,$35.30 ,REAL CANADIAN SUPERSTO,CALGARY,AB,T3M 1T4," ""55181367322463660632190""",D,5411
11/18/2017,11/20/2017,$50.00 ,MCDONALDS,CALGARY,AB,T3M 1T4," ""55181367322463660632191""",D,5411
11/18/2017,11/20/2017,$75.00 ,HOME DEPOT,CALGARY,AB,T3M 1T4," ""55181367322463660632192""",D,5411
